type,spots_available,begin_date,municipality_code
KDV,15,28-06-2017,451
VGO,6,11-04-2022,762
BSO,85,01-01-2010,503
BSO,57,27-03-2014,80
KDV,31,01-10-2014,1924
VGO,6,12-01-2011,50
VGO,4,18-01-2018,1883
VGO,6,03-02-2014,80
VGO,6,29-06-2017,177
BSO,59,12-08-2013,794
VGO,6,16-03-2022,798
VGO,6,21-04-2022,168
VGO,4,24-06-2020,109
KDV,32,20-08-2018,796
KDV,16,01-06-2015,828
BSO,30,21-08-2017,344
BSO,70,01-01-2010,632
KDV,56,01-01-2010,798
KDV,83,01-01-2010,363
VGO,6,14-10-2010,622
BSO,6,02-11-2011,1701
VGO,6,18-07-2019,119
BSO,10,05-08-2021,301
VGO,6,03-11-2010,160
VGO,4,03-05-2021,193
VGO,6,02-09-2020,86
KDV,16,22-01-2013,668
VGO,6,05-07-2022,1961
GOB,NaN,28-02-2020,512
KDV,14,01-01-2017,599
VGO,6,01-11-2011,840
VGO,6,22-11-2021,637
VGO,6,16-03-2022,184
BSO,40,01-01-2010,344
VGO,6,19-10-2020,1883
VGO,6,04-06-2020,268
VGO,6,17-01-2020,762
VGO,4,01-07-2018,14
BSO,20,01-04-2016,1960
VGO,6,28-10-2010,534
VGO,6,16-10-2019,1742
BSO,60,18-10-2010,637
KDV,72,01-01-2010,394
VGO,6,02-11-2021,603
KDV,16,01-01-2021,361
BSO,50,01-01-2010,518
VGO,6,06-10-2010,484
KDV,14,16-07-2012,363
VGO,6,05-07-2021,321
BSO,44,15-12-2010,1963
BSO,30,01-01-2010,1621
VGO,6,01-11-2020,1581
VGO,6,12-01-2021,307
BSO,68,01-01-2010,917
VGO,6,20-02-2017,1721
KDV,89,13-01-2011,599
VGO,6,08-04-2021,758
VGO,6,18-10-2021,1911
VGO,6,21-03-2019,406
VGO,6,16-07-2020,14
VGO,6,01-10-2010,268
VGO,6,13-10-2010,1980
BSO,20,03-01-2022,163
BSO,48,02-10-2004,310
KDV,52,01-12-2021,363
VGO,3,11-07-2019,90
BSO,30,11-12-2020,150
KDV,35,01-01-2010,473
KDV,13,29-10-2015,243
KDV,16,29-12-2014,285
VGO,6,01-06-2021,1955
VGO,4,04-06-2020,1949
BSO,70,22-01-2010,1728
VGO,6,22-05-2018,74
BSO,85,21-08-2017,267
VGO,6,01-06-2021,626
KDV,33,01-01-2010,518
VGO,6,10-09-2010,965
VGO,6,20-08-2020,200
VGO,6,06-09-2010,1904
KDV,30,23-09-2019,1911
BSO,40,04-04-2011,353
VGO,6,12-05-2022,294
VGO,4,19-01-2022,1960
KDV,72,29-07-2013,363
KDV,69,01-01-2010,599
BSO,30,01-06-2019,14
VGO,6,18-02-2022,34
VGO,4,14-10-2010,668
KDV,60,23-06-2010,344
VGO,6,22-03-2011,1963
VGO,6,30-05-2022,893
KDV,25,03-02-2015,262
VGO,6,18-02-2022,200
KDV,43,30-06-2014,119
KDV,16,01-10-2013,1883
BSO,120,16-08-2017,402
VGO,6,24-01-2022,1952
VGO,6,20-01-2012,489
VGO,4,08-01-2021,80
KDV,112,31-08-2010,1916
BSO,31,19-07-2021,90
VGO,6,02-07-2020,664
KDV,16,25-01-2016,505
KDV,16,01-12-2013,406
VGO,6,21-10-2021,166
KDV,32,21-03-2013,505
VGO,6,08-08-2019,1708
VGO,6,14-10-2021,228
VGO,4,05-02-2018,1711
BSO,22,25-05-2010,1735
VGO,6,14-09-2010,441
KDV,76,01-01-2010,983
VGO,6,29-09-2010,90
BSO,62,29-10-2012,772
VGO,6,06-10-2014,1507
VGO,6,01-04-2019,297
VGO,6,26-10-2010,1900
BSO,30,01-05-2014,114
VGO,6,21-04-2022,1978
VGO,6,01-04-2015,1903
KDV,36,14-12-2004,1876
VGO,5,29-10-2010,34
VGO,6,08-01-2020,1940
BSO,25,01-01-2019,153
KDV,32,01-09-2020,400
BSO,40,07-10-2013,484
VGO,6,16-09-2021,777
VGO,6,01-01-2017,1742
BSO,32,01-01-2010,823
VGO,6,29-10-2013,748
BSO,30,02-11-2004,214
VGO,4,18-10-2010,141
KDV,16,28-10-2015,74
VGO,6,08-05-2019,479
BSO,25,08-04-2019,758
VGO,4,14-04-2022,537
BSO,148,01-02-2006,1980
VGO,6,27-08-2020,1930
VGO,6,08-06-2010,351
VGO,6,15-07-2019,632
VGO,6,17-06-2021,796
KDV,88,20-03-2017,637
BSO,40,02-06-2008,301
VGO,6,01-04-2019,1978
BSO,16,25-11-2013,479
BSO,20,09-11-2010,74
BSO,62,01-07-2019,1681
VGO,5,20-09-2010,363
BSO,40,16-08-2011,344
BSO,30,01-01-2013,957
KDV,62,01-01-2010,153
VGO,6,03-04-2017,86
VGO,6,29-03-2022,1900
KDV,16,19-01-2016,1652
BSO,33,25-08-2014,275
KDV,36,01-01-2010,518
VGO,6,10-09-2018,757
BSO,70,01-01-2010,356
VGO,6,26-11-2013,637
BSO,22,11-09-2020,225
BSO,22,06-07-2021,267
BSO,45,17-02-2012,824
KDV,36,25-06-2014,599
KDV,16,08-04-2021,484
KDV,16,01-04-2016,163
KDV,24,25-07-2014,34
KDV,14,01-01-2014,268
VGO,6,01-02-2022,971
VGO,6,18-09-2018,1742
VGO,6,23-10-2019,268
VGO,5,07-06-2018,361
KDV,12,01-01-2010,505
VGO,6,25-11-2013,269
BSO,40,01-07-2020,355
VGO,6,19-03-2015,772
BSO,40,01-09-2018,622
KDV,30,26-07-2021,753
VGO,6,01-01-2021,355
BSO,29,28-10-2015,299
KDV,32,29-05-2017,344
KDV,48,01-01-2010,828
BSO,30,01-01-2021,1699
BSO,20,06-04-2017,1926
VGO,6,01-04-2016,163
VGO,6,01-10-2018,14
VGO,6,06-11-2018,14
VGO,4,12-09-2019,687
VGO,6,30-08-2010,1979
VGO,6,01-06-2010,147
VGO,6,07-09-2010,1904
VGO,6,09-12-2010,307
BSO,36,01-01-2010,579
VGO,6,04-11-2014,502
BSO,16,20-02-2013,599
VGO,6,31-12-2020,184
VGO,6,14-02-2019,798
VGO,6,16-03-2010,1525
VGO,3,05-02-2018,184
BSO,54,13-05-2013,861
KDV,46,01-01-2010,1783
KDV,44,03-08-2017,637
VGO,6,20-09-2010,363
VGO,6,03-11-2010,34
KDV,39,12-11-2015,1980
BSO,108,01-01-2010,173
BSO,22,12-08-2013,1948
KDV,75,01-01-2010,166
BSO,50,01-01-2010,599
VGO,6,14-08-2018,626
VGO,6,21-04-2020,1931
VGO,5,24-08-2010,1891
BSO,35,28-10-2014,363
KDV,76,01-01-2010,47
BSO,54,15-09-2014,547
VGO,5,21-02-2020,935
VGO,6,10-02-2022,1931
VGO,6,05-12-2017,294
BSO,44,02-12-2019,344
BSO,30,01-03-2010,1969
VGO,4,26-10-2011,599
VGO,4,24-05-2022,1900
GOB,NaN,26-01-2017,1859
VGO,6,30-05-2017,762
KDV,32,01-05-2012,189
BSO,44,05-09-2005,420
KDV,15,28-12-2012,344
BSO,120,16-08-2012,14
VGO,6,05-10-2010,356
KDV,52,01-01-2010,1969
KDV,28,01-01-2010,344
VGO,6,23-04-2013,106
VGO,6,13-07-2010,1708
VGO,6,05-07-2018,14
VGO,6,22-08-2016,147
VGO,4,24-08-2015,439
VGO,4,22-02-2022,1674
KDV,70,01-01-2010,642
VGO,6,16-02-2020,637
KDV,16,01-03-2016,599
VGO,4,15-10-2015,1690
VGO,6,20-04-2022,917
KDV,80,01-01-2010,855
BSO,60,02-07-2005,34
KDV,48,22-02-2022,758
KDV,16,10-10-2016,794
VGO,4,08-12-2010,797
BSO,60,01-01-2010,355
BSO,44,08-08-2008,303
VGO,6,17-08-2013,400
BSO,30,01-11-2015,321
VGO,6,10-04-2014,1900
VGO,6,21-11-2016,935
VGO,6,20-05-2015,1949
VGO,6,30-10-2020,344
VGO,6,28-01-2011,1940
VGO,6,01-03-2016,1982
BSO,36,01-01-2010,796
GOB,NaN,01-01-2010,512
VGO,6,06-04-2021,1952
VGO,6,26-05-2020,384
VGO,6,27-07-2010,344
VGO,6,13-09-2010,308
VGO,6,24-11-2020,531
KDV,16,01-09-2013,823
KDV,25,01-01-2010,479
VGO,6,18-07-2018,1980
KDV,16,01-01-2015,505
KDV,16,17-11-2015,342
KDV,64,01-01-2010,502
BSO,20,01-01-2010,34
VGO,6,14-06-2016,160
KDV,28,09-11-2012,1942
VGO,6,21-09-2010,114
KDV,78,01-01-2010,363
BSO,80,01-01-2010,613
VGO,6,01-01-2017,882
VGO,2,22-11-2010,358
BSO,29,01-01-2010,599
VGO,6,01-04-2015,1900
VGO,6,10-11-2017,632
VGO,6,14-09-2010,160
BSO,20,21-07-2014,762
VGO,6,28-06-2010,361
VGO,6,06-07-2015,1883
BSO,50,01-01-2010,363
BSO,16,09-08-2019,200
BSO,55,01-01-2010,392
BSO,22,06-08-2014,1959
BSO,50,07-08-2017,1783
VGO,6,10-11-2010,1708
BSO,90,01-01-2010,363
VGO,6,26-08-2020,1724
KDV,16,01-01-2020,1699
BSO,57,02-05-2011,599
VGO,6,26-10-2020,1963
VGO,6,20-02-2014,1783
VGO,4,01-04-2014,502
VGO,6,10-12-2015,303
BSO,150,28-07-2014,1730
BSO,104,01-01-2010,599
VGO,6,27-08-2021,845
VGO,4,26-11-2015,935
VGO,6,22-08-2022,542
VGO,6,18-07-2022,715
VGO,6,07-09-2016,345
VGO,6,30-06-2014,824
VGO,6,06-10-2010,758
VGO,6,24-02-2020,363
KDV,40,18-01-2013,1734
VGO,6,01-01-2011,1966
VGO,6,09-09-2014,794
VGO,6,20-09-2021,1980
VGO,6,06-02-2015,216
KDV,32,17-07-2015,1621
BSO,32,02-03-2015,599
VGO,6,01-01-2019,865
VGO,6,02-09-2010,267
VGO,6,01-07-2016,1773
VGO,4,31-03-2015,599
KDV,32,26-08-2019,118
VGO,6,22-09-2021,392
KDV,16,04-01-2010,847
BSO,20,17-11-2017,518
VGO,6,09-10-2019,59
BSO,20,04-07-2016,363
VGO,6,29-04-2022,397
VGO,6,12-07-2019,363
BSO,22,01-04-2015,405
KDV,16,31-08-2020,590
