type,spots_available,begin_date,municipality_code
KDV,15,01-05-2022,344
GOB,NaN,01-03-2016,484
BSO,26,05-07-2019,1711
VGO,2,15-01-2020,599
KDV,15,25-03-2014,344
KDV,37,01-10-2010,737
VGO,6,19-10-2021,439
VGO,6,11-01-2021,1900
VGO,6,15-12-2020,1581
VGO,6,15-03-2018,627
VGO,6,03-12-2015,355
VGO,6,13-05-2022,518
VGO,5,03-03-2022,556
BSO,30,01-01-2010,14
VGO,6,30-10-2020,1652
KDV,46,30-09-2010,826
BSO,5,08-09-2016,118
BSO,18,30-07-2014,166
VGO,6,01-10-2020,1978
BSO,16,01-09-2019,203
VGO,6,01-01-2022,355
VGO,4,11-02-2019,531
VGO,4,01-06-2016,855
VGO,5,14-07-2021,90
BSO,30,01-08-2016,518
BSO,94,22-08-2016,1904
BSO,40,20-02-2020,1961
KDV,11,24-01-2019,344
VGO,6,10-03-2020,1970
BSO,120,22-03-2021,1783
KDV,28,21-04-2021,200
VGO,6,30-11-2021,80
VGO,6,29-03-2021,275
VGO,6,01-08-2019,1883
VGO,6,30-09-2021,203
KDV,48,01-01-2005,171
VGO,6,10-01-2022,1916
BSO,50,18-07-2022,518
VGO,6,02-09-2019,451
VGO,6,01-12-2021,482
BSO,30,15-12-2017,1982
BSO,29,04-05-2016,405
VGO,6,24-10-2017,758
BSO,22,15-06-2017,1876
VGO,6,23-06-2020,1959
KDV,16,02-03-2020,599
BSO,30,31-08-2020,355
BSO,34,03-09-2018,141
BSO,44,05-03-2018,160
VGO,6,16-03-2022,1721
KDV,16,04-08-2022,1740
BSO,80,13-11-2013,1783
VGO,6,29-08-2016,1940
KDV,32,14-05-2018,1783
VGO,6,20-12-2018,1900
VGO,6,01-02-2022,1742
VGO,6,25-02-2021,1730
KDV,13,01-01-2017,1969
VGO,6,14-12-2017,654
VGO,4,31-08-2016,983
VGO,6,14-09-2020,118
KDV,16,12-01-2022,772
VGO,6,22-05-2017,228
VGO,6,09-10-2019,268
VGO,6,11-02-2019,243
BSO,60,12-10-2015,1714
KDV,32,14-02-2017,202
VGO,6,10-01-2020,1916
KDV,16,01-01-2021,377
VGO,6,15-07-2019,147
VGO,6,25-06-2019,1783
KDV,32,17-08-2020,173
VGO,3,11-04-2018,1970
KDV,16,03-02-2021,606
VGO,6,22-10-2010,150
KDV,16,01-09-2016,1970
KDV,16,04-09-2017,118
VGO,6,28-12-2021,441
VGO,6,09-12-2019,331
KDV,16,22-08-2016,518
VGO,5,26-09-2016,502
VGO,6,04-10-2021,90
KDV,64,12-07-2017,995
VGO,6,30-08-2018,1916
VGO,6,24-03-2020,1586
VGO,6,14-03-2017,383
BSO,26,05-10-2016,599
VGO,6,30-08-2021,273
VGO,6,01-04-2021,1690
VGO,4,16-11-2021,203
VGO,6,16-09-2016,402
VGO,6,01-02-2018,203
BSO,22,01-08-2022,820
VGO,6,02-08-2021,1955
VGO,6,02-05-2018,1735
KDV,16,01-01-2016,1982
KDV,16,28-08-2017,755
GOB,NaN,03-01-2010,1740
VGO,6,01-07-2022,193
VGO,4,10-03-2022,1969
VGO,6,14-12-2017,737
VGO,6,12-02-2016,762
VGO,6,14-09-2016,1954
VGO,6,18-05-2022,518
VGO,6,10-11-2020,569
VGO,6,10-03-2022,344
BSO,55,19-08-2016,344
KDV,25,23-01-2017,1696
VGO,6,07-09-2010,177
BSO,20,30-09-2015,1730
VGO,3,29-12-2021,518
VGO,6,09-02-2021,1735
VGO,6,27-06-2022,766
VGO,6,22-07-2020,228
VGO,6,06-02-2020,772
VGO,2,11-02-2019,439
VGO,4,04-10-2018,399
KDV,41,01-02-2022,392
VGO,6,03-12-2018,153
KDV,40,01-01-2018,384
VGO,6,18-10-2018,1978
KDV,32,01-03-2016,599
VGO,6,01-01-2020,310
VGO,4,03-09-2021,503
VGO,3,08-04-2019,363
VGO,6,17-12-2021,202
KDV,10,12-01-2022,599
VGO,6,01-03-2022,826
BSO,22,06-05-2019,396
BSO,41,01-02-2018,141
BSO,20,27-08-2018,230
BSO,22,30-08-2019,171
VGO,6,13-11-2020,1959
VGO,6,29-11-2021,589
KDV,16,27-06-2016,307
VGO,6,20-05-2019,228
VGO,6,12-07-2017,505
VGO,6,06-11-2019,363
VGO,6,01-11-2018,779
BSO,22,19-04-2021,402
BSO,44,04-01-2021,1894
VGO,6,16-07-2019,344
KDV,16,19-08-2021,988
KDV,15,19-10-2017,1982
BSO,22,19-09-2019,1900
VGO,6,09-05-2017,1970
VGO,6,31-01-2019,420
BSO,12,15-08-2019,1719
VGO,6,17-11-2020,90
VGO,6,31-01-2022,392
VGO,6,20-01-2020,355
VGO,5,09-06-2020,1963
VGO,6,23-06-2016,1931
KDV,28,29-08-2016,441
VGO,6,13-09-2018,569
KDV,47,30-05-2022,748
VGO,6,14-05-2020,1900
KDV,44,01-05-2016,1680
VGO,6,26-10-2021,267
KDV,16,01-05-2013,505
VGO,3,31-08-2021,193
VGO,4,22-12-2021,363
VGO,6,06-11-2017,928
VGO,3,01-05-2021,603
VGO,5,29-12-2017,397
KDV,16,19-12-2016,531
VGO,2,12-04-2016,1586
BSO,20,01-09-2019,599
BSO,24,01-01-2018,1734
VGO,6,12-05-2022,268
VGO,6,16-09-2010,1667
BSO,45,01-01-2005,1930
BSO,30,19-10-2020,479
VGO,6,15-02-2022,1894
VGO,6,23-01-2020,307
VGO,6,30-03-2020,158
VGO,6,01-02-2021,599
BSO,36,01-08-2022,312
VGO,5,01-02-2019,1926
VGO,6,13-02-2017,599
VGO,6,26-07-2022,983
VGO,6,27-09-2021,268
VGO,6,05-04-2021,1959
VGO,6,28-07-2022,1900
VGO,6,12-10-2010,826
VGO,6,15-06-2020,986
KDV,14,01-03-2018,114
VGO,2,10-11-2020,50
KDV,16,29-01-2018,98
VGO,6,01-01-2022,274
KDV,32,01-09-2013,736
KDV,34,20-12-2007,301
VGO,6,27-09-2021,302
KDV,16,03-02-2017,166
BSO,35,29-08-2016,141
KDV,14,14-03-2016,363
KDV,30,09-11-2010,74
VGO,6,14-02-2022,244
VGO,6,08-02-2021,1900
VGO,6,08-09-2020,268
VGO,6,07-09-2020,392
VGO,6,09-10-2019,228
VGO,6,27-05-2010,758
VGO,6,10-03-2022,14
VGO,6,27-08-2018,222
VGO,6,10-10-2016,826
VGO,6,25-11-2020,1735
KDV,32,01-03-2016,599
VGO,6,24-08-2020,1948
VGO,6,22-12-2020,80
VGO,6,09-09-2021,402
KDV,20,20-07-2016,1701
GOB,NaN,08-09-2016,753
VGO,6,02-06-2022,114
VGO,6,14-02-2020,356
KDV,9,01-07-2020,394
VGO,6,21-07-2020,1991
VGO,6,28-06-2018,299
KDV,32,01-03-2016,599
VGO,6,31-07-2019,1966
KDV,44,01-04-2016,935
VGO,6,23-08-2021,1900
VGO,6,10-08-2020,1931
KDV,17,01-01-2005,758
BSO,90,01-01-2010,355
VGO,6,01-05-2017,1982
VGO,1,13-04-2018,294
VGO,6,07-10-2019,1701
VGO,6,13-09-2021,737
BSO,68,01-01-2019,1894
BSO,20,02-08-2018,518
BSO,20,17-08-2020,363
KDV,16,01-01-2017,148
KDV,16,27-08-2018,85
KDV,30,01-06-2021,1859
VGO,4,28-07-2021,166
BSO,20,16-09-2019,222
VGO,6,16-12-2021,203
KDV,16,15-03-2014,363
BSO,40,01-03-2017,362
BSO,10,23-07-2020,285
VGO,6,01-04-2016,1960
VGO,6,03-09-2020,1771
VGO,6,01-02-2018,1904
KDV,16,01-09-2019,537
VGO,6,08-10-2018,1659
VGO,6,01-09-2017,351
VGO,6,10-02-2021,441
VGO,4,12-02-2020,1948
VGO,4,01-11-2019,402
BSO,40,29-04-2019,599
VGO,6,14-06-2018,202
BSO,20,29-03-2022,1731
VGO,6,02-11-2017,171
VGO,6,31-12-2015,74
VGO,6,18-12-2019,1708
VGO,4,19-11-2010,1894
KDV,16,01-03-2016,599
VGO,6,03-09-2021,518
BSO,75,08-07-2011,74
KDV,16,30-09-2021,518
VGO,6,13-06-2013,917
VGO,6,13-12-2018,1911
KDV,83,21-02-2012,1783
BSO,22,10-01-2022,1969
VGO,6,01-10-2018,796
BSO,31,30-08-2021,353
VGO,6,26-01-2021,1731
VGO,6,28-10-2021,90
VGO,4,01-01-2020,281
KDV,13,05-08-2021,301
BSO,22,16-08-2021,765
VGO,2,14-04-2021,599
VGO,6,26-04-2018,307
VGO,6,08-06-2022,1940
VGO,6,11-03-2022,1699
BSO,60,01-01-2010,597
BSO,22,29-04-2016,772
VGO,6,11-09-2018,37
VGO,6,18-02-2019,1960
KDV,32,21-02-2017,1952
VGO,6,28-03-2018,388
BSO,11,01-01-2020,479
VGO,6,30-09-2015,703
BSO,16,20-04-2022,80
VGO,6,13-08-2020,546
VGO,6,25-11-2019,1961
KDV,32,01-08-2016,765
KDV,16,20-06-2017,1621
VGO,6,01-07-2016,1773
VGO,6,01-10-2017,736
VGO,6,01-01-2020,845
BSO,20,28-06-2011,484
VGO,6,26-11-2018,1954
VGO,5,04-04-2022,141
VGO,6,20-11-2019,141
VGO,6,18-08-2010,14
KDV,46,02-01-2010,299
VGO,6,16-10-2017,228
VGO,6,07-09-2021,627
VGO,6,28-08-2019,855
VGO,4,19-12-2016,307
VGO,6,04-09-2020,233
KDV,32,14-11-2016,569
VGO,6,12-01-2017,1970
KDV,14,18-03-2017,213
VGO,6,11-08-2021,867
VGO,6,24-08-2010,1969
VGO,5,24-08-2017,736
VGO,6,17-12-2018,14
KDV,60,01-01-2010,599
KDV,32,09-11-2016,394
VGO,6,02-05-2019,200
KDV,95,09-01-2017,363
KDV,52,01-01-2018,363
VGO,6,29-10-2010,861
BSO,30,01-08-2022,1655
VGO,4,02-08-2022,858
VGO,6,19-07-2018,502
KDV,15,01-01-2017,1903
VGO,6,18-07-2022,363
VGO,6,08-04-2019,1774
VGO,6,29-03-2019,160
KDV,40,29-10-2011,307
VGO,6,04-07-2016,299
BSO,33,26-07-2016,1640
VGO,6,02-06-2021,1940
BSO,90,26-08-2019,479
VGO,6,25-01-2022,1911
KDV,10,15-09-2020,518
KDV,68,01-01-2010,479
BSO,31,13-07-2020,512
KDV,32,08-03-2021,252
VGO,6,05-04-2022,845
VGO,6,21-07-2010,150
KDV,32,19-10-2017,1959
VGO,2,09-08-2021,1655
VGO,4,13-05-2022,1980
BSO,20,17-12-2018,668
BSO,76,01-01-2010,772
KDV,32,09-11-2016,394
VGO,6,24-04-2021,1581
VGO,6,24-05-2018,1509
BSO,30,10-07-2019,268
KDV,64,01-09-2021,1701
BSO,30,29-06-2018,281
VGO,4,25-04-2019,59
BSO,29,26-04-2019,14
KDV,16,31-08-2015,971
VGO,5,01-12-2019,363
KDV,16,21-11-2016,983
KDV,16,08-11-2016,109
VGO,6,11-08-2020,312
VGO,6,25-06-2018,823
KDV,28,01-01-2019,590
VGO,6,29-12-2010,995
VGO,1,21-07-2021,489
VGO,6,07-04-2022,717
VGO,6,03-05-2019,344
VGO,6,25-09-2020,171
VGO,6,18-05-2020,1969
VGO,6,13-04-2021,654
VGO,6,22-04-2021,383
VGO,6,03-03-2021,622
VGO,6,11-04-2022,302
KDV,16,20-01-2011,232
VGO,6,13-09-2021,1680
KDV,15,01-05-2017,484
VGO,6,07-04-2020,1969
BSO,24,07-04-2022,772
KDV,16,16-04-2021,599
KDV,16,11-09-2012,518
BSO,36,24-08-2020,796
KDV,16,19-04-2021,664
VGO,6,19-08-2021,252
VGO,6,09-11-2017,342
VGO,6,05-07-2022,599
VGO,6,03-05-2021,983
KDV,16,28-09-2016,34
KDV,47,25-10-2021,599
VGO,6,05-07-2017,221
BSO,90,08-04-2022,335
VGO,6,09-03-2018,1581
BSO,22,22-12-2020,307
VGO,4,09-12-2019,1948
VGO,6,15-08-2017,175
BSO,32,04-01-2021,1652
KDV,48,01-05-2014,80
KDV,24,04-07-2019,758
KDV,15,14-11-2016,569
KDV,16,24-10-2016,718
VGO,4,23-08-2018,796
VGO,6,12-01-2021,307
KDV,45,20-06-2016,502
VGO,6,24-08-2021,523
BSO,64,04-08-2022,363
VGO,5,20-08-2010,770
BSO,44,07-09-2010,796
VGO,6,09-07-2019,74
VGO,6,19-05-2016,766
KDV,15,01-03-2016,599
VGO,4,08-11-2021,1948
VGO,6,21-06-2016,321
VGO,6,01-07-2021,1641
KDV,26,01-08-2020,363
VGO,6,08-10-2021,197
KDV,8,10-07-2017,166
VGO,6,18-02-2020,388
KDV,15,25-08-2014,809
VGO,6,17-05-2021,399
KDV,16,05-04-2022,599
VGO,6,19-06-2017,796
BSO,40,01-08-2017,1948
VGO,6,21-06-2018,809
KDV,32,21-07-2016,1948
VGO,6,04-01-2021,1705
KDV,64,05-07-2019,755
KDV,32,19-12-2012,243
VGO,6,01-12-2020,1773
VGO,6,01-04-2021,1701
KDV,32,01-08-2017,513
BSO,40,01-01-2019,163
VGO,6,05-04-2016,737
VGO,6,04-06-2020,383
VGO,2,20-12-2021,405
VGO,6,16-10-2020,855
VGO,6,01-11-2019,1948
BSO,60,01-01-2010,193
VGO,6,17-07-2020,637
VGO,6,12-04-2019,383
VGO,6,05-11-2019,882
KDV,23,01-04-2021,363
VGO,2,25-08-2021,363
BSO,8,31-08-2018,14
VGO,6,13-10-2010,513
VGO,6,05-11-2021,1916
KDV,64,03-09-2012,400
VGO,6,23-10-2019,441
KDV,36,01-01-2005,513
VGO,6,15-10-2021,202
BSO,50,10-07-2017,268
VGO,4,19-08-2020,177
BSO,56,08-03-2017,268
VGO,6,03-02-2021,1916
VGO,6,17-01-2018,228
VGO,6,02-06-2020,1652
VGO,6,26-01-2021,228
KDV,48,13-09-2021,193
BSO,62,01-01-2005,90
KDV,16,01-01-2017,171
VGO,6,01-01-2019,677
KDV,16,01-06-2016,1952
KDV,16,17-08-2020,1896
VGO,6,25-10-2019,505
VGO,6,30-06-2022,1979
KDV,16,22-03-2018,1669
KDV,16,21-10-2020,85
VGO,6,12-02-2016,855
BSO,44,02-01-2010,385
VGO,6,02-07-2019,1509
VGO,6,04-11-2021,530
VGO,6,04-06-2021,505
VGO,6,27-01-2014,532
VGO,6,14-07-2020,1949
KDV,16,01-01-2017,606
VGO,6,23-01-2020,971
VGO,6,22-03-2019,1969
VGO,4,10-01-2019,344
BSO,22,01-03-2022,392
KDV,24,12-04-2019,1859
BSO,17,23-08-2021,375
BSO,34,01-09-2020,599
KDV,16,01-08-2016,484
VGO,3,10-10-2017,758
KDV,16,12-11-2015,90
VGO,6,27-07-2010,293
VGO,6,20-05-2020,518
VGO,6,30-07-2015,1970
VGO,3,02-09-2021,984
VGO,6,28-09-2021,828
VGO,6,25-03-2022,770
KDV,12,01-09-2020,599
VGO,6,01-02-2019,1966
KDV,16,21-02-2017,294
VGO,6,01-01-2016,80
KDV,16,06-07-2012,263
VGO,4,21-12-2018,150
VGO,6,14-06-2021,1969
BSO,64,01-01-2010,1581
BSO,12,06-01-2020,599
VGO,6,01-02-2019,1952
VGO,6,01-04-2017,274
BSO,60,09-12-2013,1659
VGO,6,30-03-2015,610
VGO,6,29-12-2015,109
VGO,6,01-09-2021,244
VGO,6,23-04-2021,202
VGO,6,20-11-2018,400
BSO,20,24-08-2021,984
VGO,6,01-03-2021,1991
BSO,48,01-01-2010,396
BSO,15,15-07-2021,147
KDV,16,01-09-2017,1699
VGO,6,10-01-2022,1892
BSO,32,01-09-2014,331
VGO,6,05-07-2021,1676
VGO,6,22-02-2017,34
VGO,6,10-08-2020,1892
VGO,6,15-12-2017,34
VGO,6,17-09-2010,1930
VGO,6,01-09-2017,14
BSO,22,25-10-2021,1963
VGO,6,15-07-2021,1991
KDV,32,22-08-2012,518
VGO,6,03-12-2019,599
KDV,16,01-10-2021,363
VGO,6,17-12-2018,772
BSO,94,30-08-2011,363
VGO,6,02-04-2019,1659
VGO,6,10-09-2021,268
VGO,6,23-08-2016,599
VGO,6,04-02-2020,547
VGO,6,16-11-2020,228
BSO,44,05-11-2021,503
VGO,6,05-09-2021,1883
VGO,4,13-10-2010,1896
KDV,16,29-02-2016,307
GOB,NaN,01-01-2010,150
KDV,56,21-06-2021,1581
BSO,31,02-10-2020,363
VGO,5,13-07-2018,294
VGO,6,01-07-2021,392
KDV,44,01-01-2010,363
VGO,6,29-03-2021,203
VGO,6,23-11-2021,200
KDV,15,08-03-2022,1948
VGO,6,12-01-2016,590
KDV,42,16-08-2012,274
VGO,6,18-07-2017,173
KDV,16,22-12-2015,1655
VGO,6,28-01-2016,1926
KDV,16,28-08-2016,1940
VGO,4,02-08-2021,1959
KDV,32,20-07-2016,150
KDV,16,01-09-2019,757
KDV,33,22-09-2021,363
VGO,4,05-11-2010,737
VGO,6,06-04-2021,114
VGO,6,17-08-2020,505
BSO,70,01-01-2010,106
BSO,15,01-02-2018,153
KDV,30,04-12-2019,34
VGO,4,09-02-2021,865
BSO,56,01-01-2010,518
BSO,20,01-08-2018,1931
VGO,6,18-04-2018,183
BSO,30,01-02-2018,86
VGO,6,20-01-2017,847
KDV,16,28-11-2016,321
VGO,6,25-09-2019,935
VGO,6,06-12-2021,603
VGO,6,22-08-2022,1942
VGO,6,01-08-2022,441
KDV,24,28-04-2022,1952
VGO,6,07-12-2010,228
BSO,30,01-01-2010,809
KDV,15,01-09-2016,606
VGO,6,16-06-2017,1900
VGO,6,27-05-2016,1699
VGO,6,26-08-2015,200
KDV,44,21-08-2017,262
VGO,5,09-06-2021,1621
KDV,16,01-04-2017,375
VGO,6,13-09-2021,402
VGO,6,03-09-2018,14
VGO,6,25-09-2020,383
VGO,6,11-07-2019,344
BSO,30,21-08-2020,1948
BSO,66,25-05-2022,80
BSO,8,11-10-2016,109
KDV,44,02-03-2017,599
VGO,6,22-08-2018,355
KDV,48,23-05-2016,363
VGO,6,25-05-2022,762
VGO,6,19-01-2022,866
VGO,5,01-08-2019,796
BSO,20,14-05-2018,1895
VGO,4,06-02-2018,163
VGO,6,09-02-2021,153
BSO,22,20-06-2022,840
VGO,6,21-01-2021,762
BSO,29,12-10-2017,90
BSO,60,04-06-2010,758
VGO,6,01-01-2017,1991
VGO,6,15-08-2013,263
VGO,4,15-02-2021,232
VGO,6,14-03-2019,1724
BSO,92,01-01-2010,14
VGO,6,10-02-2016,1699
BSO,20,17-08-2020,1681
VGO,6,10-04-2020,512
BSO,55,01-01-2010,153
VGO,6,01-08-2018,847
BSO,16,01-12-2016,331
VGO,6,02-04-2019,498
VGO,6,20-08-2021,1742
VGO,4,08-06-2018,599
VGO,6,07-06-2017,737
VGO,6,04-04-2016,200
VGO,6,16-12-2021,1978
BSO,22,09-03-2021,1970
VGO,6,18-08-2021,622
BSO,36,25-08-2020,203
VGO,4,11-01-2019,267
VGO,6,10-03-2021,302
KDV,42,15-11-2016,1900
KDV,42,08-09-2020,1980
VGO,6,22-06-2020,80
KDV,16,01-10-2016,762
BSO,50,10-06-2016,342
BSO,61,18-07-2018,1711
VGO,6,17-12-2019,303
VGO,6,01-12-2015,542
VGO,2,16-02-2016,1774
VGO,4,23-11-2017,1708
VGO,6,15-07-2020,362
VGO,6,20-04-2017,252
BSO,24,10-03-2020,200
VGO,6,10-01-2022,353
VGO,6,27-10-2020,14
BSO,42,01-01-2021,1979
VGO,4,24-09-2021,995
BSO,40,01-01-2010,637
VGO,5,07-07-2022,153
BSO,22,27-06-2017,114
VGO,6,05-08-2021,109
BSO,22,06-03-2022,1963
VGO,6,01-05-2019,1955
BSO,61,23-09-2019,1911
VGO,6,14-02-2020,1509
VGO,6,13-06-2016,1940
BSO,60,01-01-2010,1723
KDV,16,31-07-2014,502
BSO,16,15-07-2019,394
KDV,53,25-09-2013,363
VGO,3,01-08-2018,164
VGO,6,18-01-2019,1960
KDV,107,07-05-2018,202
VGO,6,14-04-2021,777
VGO,6,19-02-2016,523
VGO,6,19-04-2022,1640
VGO,6,01-11-2021,935
KDV,30,13-08-2018,1771
BSO,30,05-03-2018,1969
VGO,6,30-05-2022,321
VGO,6,15-06-2022,397
VGO,6,13-01-2022,518
VGO,3,01-09-2020,160
KDV,16,06-03-2017,1960
VGO,6,28-03-2017,984
BSO,22,26-08-2019,363
KDV,60,05-08-2021,1598
VGO,6,02-09-2019,222
KDV,16,15-12-2016,1740
VGO,6,17-06-2020,1940
KDV,14,07-03-2022,518
BSO,50,02-10-2017,1924
VGO,6,28-02-2022,106
VGO,2,01-10-2020,1978
VGO,5,12-08-2016,479
VGO,6,01-03-2016,1900
VGO,6,14-10-2021,796
GOB,NaN,14-01-2022,80
VGO,2,01-12-2018,109
KDV,15,01-09-2017,1701
VGO,6,12-05-2022,1960
BSO,16,18-03-2019,1945
KDV,16,06-12-2021,90
BSO,30,03-10-2016,363
KDV,15,01-01-2017,1924
VGO,6,09-08-2019,37
BSO,10,17-08-2021,518
VGO,6,19-02-2018,1714
BSO,28,04-01-2021,718
BSO,20,20-08-2018,385
KDV,16,01-03-2016,599
VGO,6,22-11-2017,1708
VGO,6,17-09-2021,397
VGO,6,01-01-2016,1961
VGO,6,17-06-2021,355
VGO,6,25-02-2021,405
VGO,6,12-05-2021,297
VGO,6,08-05-2019,200
KDV,29,21-07-2017,758
BSO,48,23-02-2022,363
VGO,6,22-07-2021,1961
VGO,6,18-06-2020,114
KDV,16,01-12-2020,828
VGO,6,13-05-2022,518
VGO,4,30-04-2019,164
VGO,6,03-09-2018,1735
VGO,6,04-11-2020,1724
VGO,6,15-05-2019,86
VGO,6,16-08-2021,275
VGO,6,02-02-2021,34
VGO,6,17-06-2020,168
BSO,30,03-08-2018,1991
KDV,70,15-03-2016,331
VGO,6,31-12-2020,1783
KDV,32,02-06-2014,479
VGO,6,01-11-2021,1948
KDV,35,01-01-2010,363
KDV,5,12-04-2022,1969
VGO,6,01-07-2022,1930
BSO,48,17-12-2019,855
VGO,6,10-12-2014,855
VGO,6,19-01-2017,796
VGO,6,14-10-2020,1978
GOB,NaN,01-01-2010,243
VGO,6,04-07-2022,603
VGO,6,08-10-2020,439
VGO,6,17-09-2019,983
VGO,3,27-09-2017,502
KDV,24,14-08-2017,753
VGO,4,07-06-2021,345
VGO,6,08-09-2014,1507
BSO,44,01-04-2018,209
VGO,6,25-02-2016,1900
VGO,6,02-07-2020,171
VGO,6,25-06-2019,90
VGO,6,01-02-2017,1507
VGO,6,17-12-2020,307
VGO,6,21-07-2022,1734
VGO,6,01-03-2022,1942
VGO,4,19-03-2021,1719
KDV,16,08-12-2016,762
KDV,16,21-08-2019,736
VGO,6,27-06-2019,855
GOB,NaN,01-01-2010,268
VGO,6,22-12-2016,1705
KDV,16,02-02-2021,828
VGO,6,16-02-2016,1701
KDV,16,06-03-2017,86
VGO,6,10-05-2018,299
VGO,6,29-09-2020,74
VGO,6,21-12-2018,553
VGO,6,06-09-2018,141
BSO,80,31-08-2019,627
GOB,NaN,27-11-2019,80
VGO,6,08-02-2021,200
VGO,6,17-07-2018,173
KDV,32,04-01-2021,1652
BSO,36,25-01-2019,384
KDV,16,22-02-2016,373
VGO,6,16-07-2019,1742
VGO,6,25-03-2019,758
VGO,6,02-05-2012,1728
VGO,6,03-03-2021,855
VGO,6,10-03-2022,796
KDV,15,01-11-2017,202
VGO,6,01-11-2010,1658
BSO,22,20-12-2018,1961
VGO,6,17-10-2016,1982
VGO,6,23-12-2016,779
BSO,22,11-04-2019,363
KDV,48,02-01-2010,757
KDV,24,13-01-2016,518
BSO,48,15-10-2019,1961
BSO,22,14-05-2019,1724
VGO,6,24-10-2019,147
KDV,32,14-11-2016,569
KDV,16,10-05-2022,405
BSO,38,07-05-2021,1621
VGO,6,19-09-2018,163
VGO,6,04-10-2017,377
VGO,6,21-04-2022,484
VGO,4,16-03-2022,988
VGO,6,16-07-2020,183
BSO,20,06-10-2016,546
VGO,6,06-01-2021,310
VGO,6,13-03-2018,1742
KDV,16,01-10-2017,1690
KDV,16,01-01-2017,882
VGO,6,10-01-2022,935
BSO,12,14-12-2020,375
BSO,10,14-11-2020,1916
VGO,6,11-09-2020,512
BSO,22,05-08-2021,301
KDV,32,05-10-2020,1525
VGO,6,25-04-2019,1970
VGO,6,18-02-2022,153
VGO,6,01-10-2020,180
VGO,5,01-03-2022,917
BSO,30,03-07-2018,518
BSO,20,02-10-2018,344
KDV,48,01-01-2018,855
VGO,6,28-10-2020,228
BSO,60,01-01-2010,983
VGO,6,12-07-2016,171
VGO,6,16-05-2022,153
KDV,16,27-02-2018,935
BSO,88,06-08-2019,243
VGO,6,19-07-2016,748
VGO,6,03-11-2010,273
VGO,6,13-11-2017,275
VGO,6,26-08-2020,1940
VGO,6,20-07-2021,606
VGO,6,25-03-2021,1900
VGO,6,09-06-2022,197
VGO,3,09-05-2022,1955
KDV,98,01-01-2010,1783
KDV,16,11-08-2021,1911
KDV,16,14-08-2020,177
BSO,22,07-01-2020,717
VGO,6,03-12-2019,200
VGO,4,11-08-2020,599
KDV,10,24-08-2020,820
VGO,6,15-07-2019,1842
KDV,8,01-11-2018,632
BSO,30,24-07-2018,1896
VGO,4,24-12-2020,184
VGO,6,12-05-2022,1892
BSO,50,09-02-2017,14
KDV,24,01-05-2021,796
KDV,8,28-08-2018,243
VGO,6,07-10-2010,307
VGO,6,20-03-2017,147
VGO,4,18-11-2021,377
VGO,6,27-09-2018,1960
VGO,6,14-09-2010,189
VGO,4,07-08-2018,983
VGO,4,18-04-2019,503
VGO,6,17-07-2018,1724
VGO,6,14-12-2011,1892
KDV,16,07-01-2019,737
VGO,6,01-02-2021,375
VGO,6,27-05-2021,503
KDV,32,17-08-2020,160
VGO,6,27-01-2017,484
VGO,6,26-10-2018,177
BSO,50,19-02-2020,281
VGO,6,02-01-2019,1652
VGO,6,30-11-2020,983
BSO,22,11-08-2021,1911
VGO,6,17-09-2010,599
VGO,4,14-09-2020,599
KDV,12,08-10-2020,50
BSO,50,17-12-2018,758
VGO,6,25-06-2021,34
GOB,NaN,01-02-2017,1982
VGO,6,09-02-2022,1948
KDV,32,01-03-2016,599
VGO,6,17-08-2021,984
VGO,6,28-09-2020,542
KDV,16,25-10-2016,114
KDV,8,23-02-2017,858
VGO,6,01-08-2018,532
VGO,6,02-02-2021,597
VGO,5,15-06-2022,599
KDV,28,21-10-2019,502
KDV,16,12-07-2018,687
VGO,5,22-04-2014,209
VGO,6,22-01-2019,14
VGO,6,01-05-2022,34
KDV,72,01-03-2020,599
VGO,2,26-01-2021,518
VGO,6,19-04-2021,715
BSO,16,22-02-2021,1895
VGO,6,01-05-2020,1969
BSO,18,21-08-2017,173
BSO,56,17-08-2020,363
VGO,6,18-06-2018,420
KDV,8,12-12-2017,1708
BSO,33,14-08-2020,80
BSO,33,31-05-2018,503
VGO,6,07-12-2020,637
GOB,NaN,01-01-2010,1730
BSO,20,30-10-2017,86
VGO,6,03-11-2015,718
KDV,16,28-09-2017,1963
VGO,4,23-01-2018,1876
VGO,6,29-01-2021,935
BSO,20,01-01-2016,1969
VGO,4,15-07-2020,1621
VGO,6,28-02-2020,86
VGO,6,19-08-2019,420
VGO,6,15-03-2017,164
VGO,6,10-08-2017,118
BSO,40,01-06-2017,855
KDV,24,09-08-2010,1954
KDV,16,14-04-2016,1901
KDV,40,01-01-2010,983
VGO,6,21-08-2020,599
VGO,6,15-03-2022,1742
VGO,6,02-12-2021,405
BSO,58,21-09-2020,307
BSO,60,10-01-2022,344
VGO,2,14-10-2010,1742
VGO,6,17-11-2017,200
VGO,6,23-08-2017,59
BSO,5,08-01-2018,88
VGO,6,02-12-2020,216
VGO,6,15-07-2021,518
VGO,6,02-08-2018,453
VGO,6,28-11-2017,797
VGO,6,24-01-2018,1966
VGO,5,26-08-2010,855
KDV,16,24-01-2022,243
VGO,6,28-05-2021,518
VGO,6,01-05-2017,1690
KDV,16,01-12-2018,158
KDV,14,22-08-2022,1916
KDV,8,10-05-2022,820
